UUID.x	Superpopulation.code
211944d4-0691-5013-b919-980f1e4b0405	NoCODE
2134b27f-ea27-555a-9fea-fd5ec41b9533	EUR
2150f127-1216-554c-9eda-5804130ab266	NoCODE
21661768-e025-5d87-a510-a760ad347e88	EUR
21838eec-9328-55d7-a8b1-e227c0615116	NoCODE
21b6e564-ca73-58e9-b954-06dfdf48b66b	NoCODE
21c112fb-0bf4-59a2-a500-7d48a951ae66	NoCODE
21d44169-f8c4-5150-9d6f-486e8a40c420	NoCODE
21da89be-d601-5d8a-9b05-1bed7b700184	NoCODE
21db115b-b2c4-5a99-905a-11b0c17699ee	EUR
21e27222-c47b-5b00-b92f-a6bc60b852d4	NoCODE
21ee3f0a-363b-5dc6-8539-419a85a0d45a	NoCODE
226f1da6-5473-532e-a7ac-e95382fe8f22	NoCODE
2323321a-d22f-5399-af5e-a325f888db10	NoCODE
239293b3-bf46-5889-b711-5daac27b871b	NoCODE
23afbbc2-2d83-5f1f-88f1-da730dbb7b4c	EAS
23b72633-8578-5109-8891-e1535784418d	NoCODE
23df8519-f4be-59b5-82c5-088a8c54a123	NoCODE
23e95c8f-96ea-5a67-bdb1-38680f157aa3	AFR
2459dc38-0396-5fb1-9669-404df914244d	NoCODE
247ccea9-cb0f-528e-8fd2-bafdcf7e7355	SAS
24a7a5d1-ebdb-5255-a4e8-d1aa5f6b89f8	NoCODE
24f42a50-3384-5baf-8e6d-4aecad7a6f2a	NoCODE
250e8f17-0460-593d-b703-9d00a2d861f6	AFR
250f6ddc-04c6-5bbe-8727-083c3917f239	NoCODE
25549527-e04f-5d26-8ba8-5470a6ba78b9	NoCODE
25e2751e-fc61-5700-ba0f-0e48d1e767cc	EAS
2602237f-633d-58a1-a022-3200efee7faa	NoCODE
2652c0c3-d683-55ea-b2af-f595b511cc11	NoCODE
266494ae-9f83-5145-8252-33db00f61f1e	NoCODE
26923cf7-7594-5c45-a5a3-82f5175bc195	NoCODE
271b209a-a1b1-5af7-a5aa-55027ceb18c2	NoCODE
273cac5e-70d3-5967-9671-aa5869243d72	NoCODE
274385c7-edc7-506d-a408-48a415d8a9d5	AFR
277e91ed-cfce-5993-988d-e83f823c8343	SAS
27ade8f6-4e0b-5ae8-9bcb-c22431ac3640	NoCODE
284f5a82-813e-581c-817b-4f3fdee13949	NoCODE
293d54d3-af28-5ffc-9438-60fbb3fe5fbb	NoCODE
296f5043-4fa5-5cd5-bf37-6228fecd90bc	NoCODE
298e7839-667b-5b3d-a444-fb4e1fa1b19e	EAS
29ed79d1-d825-50a4-832f-dd8283d4cbd5	NoCODE
2a7534a0-0933-515b-a892-26141e07fe8a	AMR
2a8e0562-58d4-5016-96aa-7d460a3216dd	NoCODE
2ab6f627-a89f-5df8-95a4-28f6ef5dd630	NoCODE
2b21a004-42a3-5790-9f96-fb600df68a9f	NoCODE
2b41b270-bfc6-5967-8423-8207db250ba6	NoCODE
2bc6012c-ec54-5bc5-8c36-b9cec2f3831c	NoCODE
2c08f52f-67cb-564f-956b-1f3588885191	NoCODE
2c810b4b-2144-5dfb-be52-d07ba762bf6c	NoCODE
2c83b6f4-067f-5141-84fc-7e585d3681bd	NoCODE
2cdb6022-67e4-5a89-9d90-a33bb3546d16	NoCODE
2cf8d315-a8a6-5677-a07e-40488036427b	NoCODE
2d292250-d541-5279-9ba7-09657c19321a	NoCODE
2d443ce6-2578-5b97-bce5-f54d42120329	NoCODE
2da64531-574c-5de2-a579-3c5b53c2ccde	NoCODE
2dd5f18c-2ea7-5f04-ab85-50f9a6d38929	NoCODE
2e26896c-1d7e-5f97-9820-df356494ae61	NoCODE
2e68fd3c-52ca-507b-9bba-5173fe44af59	NoCODE
2e792ceb-2a3b-5f16-a032-dc8f46b5fc46	NoCODE
2e87210f-8ea9-549a-8217-e409d7497d3f	NoCODE
2e924cda-342b-57c3-97e1-055871a177bc	NoCODE
2ea78a5f-51a0-543d-9d2d-63f097daaa29	AFR
2ee037e6-07c6-5ad1-a0a5-2be358e19073	NoCODE
2ee670c5-9d3f-54fc-84e9-b811dd9cd533	NoCODE
2f3cfbe2-b866-59fc-a237-5b3dd5c97f09	NoCODE
2f9766e5-8067-5bd0-8be9-50b4e47b4918	EAS
2fe11658-4275-5c42-8bc1-d28affb638e4	NoCODE
3012e018-51d9-5bae-a5f4-307ef4193edc	NoCODE
302520b8-52df-517b-adf0-4be887ff99a2	NoCODE
3071aa6f-0257-51fd-8bf4-9727d745b986	NoCODE
3170734a-05db-5db9-939b-26751746da5a	NoCODE
319ce49b-febf-5334-96e7-e0880dd65368	AMR
31c457b1-d962-509d-8e3f-ef8926861578	EUR
32036fec-76a9-59e9-9302-7953e79818cc	NoCODE
3275af1f-299d-5b07-a199-8e5ecb3537e9	NoCODE
